TransactionID,AccountID,TransactionAmount,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,FraudLabel,TimeSinceLastTransaction,Fraud_IF,Fraud_OCSVM,Fraud_DBSCAN,Total_Fraud_Detections
TX000001,AC00128,14.09,1,36,365,186,14,0,70,Doctor,81,1,5112.21,0,-49477134.0,0,0,0,0
TX000002,AC00455,376.24,1,15,50,82,51,0,68,Doctor,141,1,13758.91,0,-42823516.0,0,0,0,0
TX000003,AC00019,126.29,1,23,229,343,8,2,19,Student,56,1,1122.35,0,-41694656.0,0,0,0,0
TX000004,AC00070,184.5,1,33,182,300,1,2,26,Student,25,1,8569.06,0,-47403415.0,0,0,0,0
TX000005,AC00411,13.45,0,1,298,501,90,2,26,Student,198,1,7429.4,0,-33228915.0,0,0,0,0
TX000006,AC00393,92.15,1,28,562,60,53,0,18,Student,172,1,781.68,0,-50165495.0,0,0,0,0
TX000007,AC00199,7.08,0,39,235,112,18,0,37,Doctor,139,1,13316.71,0,-54228801.0,1,1,1,3
TX000008,AC00069,171.42,0,16,483,571,19,1,67,Retired,291,1,2796.24,0,-47139776.0,0,0,1,1
TX000009,AC00135,106.23,0,11,670,370,34,1,51,Engineer,86,1,9095.14,0,-51289888.0,0,0,0,0
TX000010,AC00385,815.96,1,26,194,393,6,0,55,Doctor,120,1,1021.88,0,-50428775.0,0,0,0,0
TX000011,AC00150,17.78,0,0,200,337,72,2,52,Engineer,59,1,7599.52,0,-51895235.0,0,0,0,0
TX000012,AC00459,190.02,1,22,572,56,29,2,21,Student,173,1,1528.81,0,-55003032.0,0,0,0,0
TX000013,AC00392,494.52,0,23,31,332,56,1,24,Student,111,1,1620.02,0,-44549230.0,0,0,0,0
TX000014,AC00264,781.76,1,22,53,277,24,0,26,Student,123,1,189.69,0,-30209271.0,0,0,0,0
TX000015,AC00085,166.99,1,21,299,251,16,2,18,Student,134,1,299.93,0,-54400572.0,0,0,0,0
TX000016,AC00270,465.45,1,10,451,361,24,0,36,Engineer,129,1,3465.54,0,-28309728.0,0,0,0,0
TX000017,AC00317,555.8,0,2,651,464,47,1,19,Student,158,1,1131.26,0,-32022886.0,0,0,0,0
TX000018,AC00359,492.93,1,8,417,49,58,2,39,Engineer,234,1,5109.97,0,-28129177.0,0,0,0,0
TX000019,AC00242,18.68,0,0,513,579,53,1,59,Retired,106,1,7948.37,0,-53709311.0,0,0,0,0
TX000020,AC00285,71.48,0,8,38,70,38,2,18,Student,169,1,6568.59,0,-44459430.0,0,0,0,0
TX000021,AC00002,59.32,1,20,150,59,39,1,71,Retired,38,1,5750.89,1,-53105546.0,0,0,0,1
TX000022,AC00014,85.77,1,19,260,478,64,1,38,Doctor,93,1,9146.19,0,-38929002.0,0,0,0,0
TX000023,AC00095,52.2,1,1,140,91,21,2,39,Engineer,120,1,8974.93,0,-44629966.0,0,0,0,0
TX000024,AC00453,345.84,1,13,158,268,82,2,22,Student,142,3,1402.5,0,-47655678.0,0,0,1,1
TX000025,AC00241,145.54,1,33,35,63,27,2,21,Student,96,1,1930.96,0,-52932193.0,0,0,0,0
TX000026,AC00041,7.49,0,15,651,543,42,2,65,Retired,276,1,3634.67,0,-32883391.0,0,0,1,1
TX000027,AC00441,246.93,1,24,45,467,28,0,23,Student,158,5,673.35,1,-48958477.0,1,1,1,4
TX000028,AC00057,40.32,1,25,300,327,7,1,37,Engineer,95,1,2686.52,0,-50599761.0,0,0,0,0
TX000029,AC00390,127.45,1,19,226,151,91,2,44,Doctor,197,1,1772.06,0,-56130770.0,0,0,0,0
TX000030,AC00313,56.17,1,11,288,397,42,1,27,Student,283,1,1351.69,0,-35478768.0,0,0,0,0
TX000031,AC00367,28.31,0,24,570,404,90,2,59,Doctor,20,1,8334.47,0,-41091595.0,0,0,0,0
TX000032,AC00291,59.12,1,3,274,248,52,0,29,Doctor,257,1,9823.64,0,-55006954.0,0,1,0,1
TX000033,AC00060,396.45,1,27,601,92,6,0,49,Engineer,168,3,9690.15,0,-35048713.0,0,0,1,1
TX000034,AC00359,877.81,1,20,109,93,93,2,22,Student,150,1,399.0,1,-51979466.0,0,0,0,1
TX000035,AC00365,255.26,0,37,345,571,1,1,45,Doctor,50,1,14815.87,0,-32282882.0,1,0,0,1
TX000036,AC00267,124.76,1,39,41,479,1,1,49,Engineer,45,1,5764.72,0,-33233607.0,0,0,0,0
TX000037,AC00404,78.13,1,25,244,397,27,1,26,Student,145,1,900.61,0,-30122014.0,0,0,0,0
TX000038,AC00202,649.28,1,38,433,517,73,0,75,Retired,137,1,4875.86,0,-52928263.0,0,0,0,0
TX000039,AC00478,795.31,1,23,76,450,47,0,66,Doctor,90,2,7914.88,0,-33577417.0,0,0,1,1
TX000040,AC00405,335.63,1,28,37,449,39,2,55,Retired,216,1,1019.39,0,-56127012.0,0,0,0,0
TX000041,AC00421,328.47,1,35,540,482,13,0,63,Retired,119,1,4323.66,1,-39878861.0,0,0,0,1
TX000042,AC00480,34.02,1,30,607,25,45,2,38,Doctor,19,1,14214.48,0,-57427104.0,0,1,0,1
TX000043,AC00120,241.42,0,5,193,488,43,2,57,Doctor,116,1,13357.02,0,-48690680.0,0,0,0,0
